date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:56:41	40997/40997	---MCZ	200	added ('OK')	application/javascript	etag:%22a025-pU1dreb3BCFPYYTIFZJhWMD8IeA%22	https://unpkg.com/axios@1.6.7/dist/axios.min.js	C:/My%20Web%20Sites/tawio/unpkg.com/axios@1.6.7/dist/axios.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:42	18948/18948	---M-Z	200	added ('OK')	application/javascript	etag:W/%224a04-bf+nqz51u+AviRFKbfOBoZibUwI%22	https://cdn.jsdelivr.net/npm/bignumber.js@9.1.2/bignumber.min.js	C:/My%20Web%20Sites/tawio/cdn.jsdelivr.net/npm/bignumber.js@9.1.2/bignumber.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:43	43861/43861	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ab55-TRYKKAazMD8M1M6v6a/rXmflFME%22	https://cdn.jsdelivr.net/npm/numbro@2.3.6/dist/numbro.min.js	C:/My%20Web%20Sites/tawio/cdn.jsdelivr.net/npm/numbro@2.3.6/dist/numbro.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:43	57/57	---MCZ	302	error ('Found')	text/plain	date:Sun,%2018%20Feb%202024%2012:56:48%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/tawio/unpkg.com/swiper/swiper-bundle.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:44	148932/148932	---MCZ	200	added ('OK')	application/javascript	etag:%22245c4-1IpMOwjrIUviy3373dAv2gdmak0%22	https://unpkg.com/swiper@11.0.6/swiper-bundle.min.js	C:/My%20Web%20Sites/tawio/unpkg.com/swiper@11.0.6/swiper-bundle.min.js	(from https://manta.network/?utm_source=icodrops)
04:56:44	819/819	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-333%22	https://manta.network/assets/js/main.js?v=1.1.4	C:/My%20Web%20Sites/tawio/manta.network/assets/js/main7ec3.js	(from https://manta.network/?utm_source=icodrops)
04:56:45	3158/3158	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-c56%22	https://manta.network/assets/js/swipers.js?v=1.1.4	C:/My%20Web%20Sites/tawio/manta.network/assets/js/swipers7ec3.js	(from https://manta.network/?utm_source=icodrops)
04:56:46	1421/1421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-58d%22	https://manta.network/assets/js/medium.js?v=1.1.4	C:/My%20Web%20Sites/tawio/manta.network/assets/js/medium7ec3.js	(from https://manta.network/?utm_source=icodrops)
04:56:46	976/976	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-3d0%22	https://manta.network/assets/js/wallet.js?v=1.1.4	C:/My%20Web%20Sites/tawio/manta.network/assets/js/wallet7ec3.js	(from https://manta.network/?utm_source=icodrops)
04:56:47	5977/5977	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-1759%22	https://manta.network/assets/js/home.js?v=1.1.4	C:/My%20Web%20Sites/tawio/manta.network/assets/js/home7ec3.js	(from https://manta.network/?utm_source=icodrops)
04:56:48	90517/90517	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265c335f6-16195%22	https://manta.network/assets/js/ecosystem.json.js?v=1.1.7	C:/My%20Web%20Sites/tawio/manta.network/assets/js/ecosystem.json5cce.js	(from https://manta.network/?utm_source=icodrops)
04:56:49	13946/13946	---M--	200	added ('OK')	image/png	etag:%2265c335f6-367a%22	https://manta.network/assets/img/header-button-bg.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/header-button-bg.png	(from https://manta.network/assets/css/styles.css?v=1.1.4)
04:56:49	50526/50526	---M--	200	added ('OK')	image/png	etag:%2265c335f6-c55e%22	https://manta.network/assets/img/bridge-to-altantic.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/bridge-to-altantic.png	(from https://manta.network/assets/css/styles.css?v=1.1.4)
04:56:53	232026/232026	---M--	200	added ('OK')	image/png	etag:%2265c335f6-38a5a%22	https://manta.network/assets/img/airdrop.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/airdrop.png	(from https://manta.network/assets/css/styles.css?v=1.1.4)
04:56:53	29765/29765	---M--	200	added ('OK')	image/png	etag:%2265c335f6-7445%22	https://manta.network/assets/img/hero-bridge-bg.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/hero-bridge-bg.png	(from https://manta.network/assets/css/styles.css?v=1.1.4)
